kelime,anlam,tur,duygu,es_anlam,vurgu
ateş,Yanıcı madde.,İsim,Tehlike,nar,Son
su,Yaşam kaynağı.,İsim,Hayat,ab,Son
toprak,Yer yüzü.,İsim,Bereket,zemin,Son
hava,Gaz tabakası.,İsim,Özgürlük,-,Son
çiçek,Bitki organı.,İsim,Güzellik,nebat,Son
ağaç,Büyük bitki.,İsim,Güç,-,Son
orman,Ağaç topluluğu.,İsim,Gizemli,-,Son
dağ,Yüksek arazi.,İsim,Yüce,cebel,Son
nehir,Akarsu.,İsim,Hareket,ırmak,Son
göl,Durgun su.,İsim,Durgun,-,Son
yol,Gidilen yer.,İsim,Macera,tarik,Son
yolcu,Yola giden.,İsim,Yalnız,seyyah,Son
kalmak,Gitmemek.,Fiil,Durgun,durmak,Son
beklemek,Ummak.,Fiil,Sabır,-,Son
özlemek,Hasret çekmek.,Fiil,Melankolik,-,Son
sevmek,Aşk duymak.,Fiil,Romantik,-,Son
ağlamak,Gözyaşı dökmek.,Fiil,Üzüntü,-,Son
gülmek,Neşelenmek.,Fiil,Mutluluk,-,Son
susmak,Konuşmamak.,Fiil,Gizem,sükut,Son
konuşmak,Söz söylemek.,Fiil,İletişim,lakırdı,Son
duymak,İşitmek.,Fiil,Algı,-,Son
görmek,Bakmak.,Fiil,Algı,-,Son
bilmek,Öğrenmiş olmak.,Fiil,Bilgi,-,Son
anlamak,Kavramak.,Fiil,Bilgi,-,Son
unutmak,Hatırlamamak.,Fiil,Kayıp,-,Son
hatırlamak,Anımsamak.,Fiil,Anı,-,Son
korkmak,Ürkmek.,Fiil,Korku,-,Son
cesur,Korkusuz.,Sıfat,Güç,yiğit,Son
korkak,Cesaretsiz.,Sıfat,Zayıf,-,Son
asi,Başkaldıran.,Sıfat,İsyan,-,İlk
itaat,Boyun eğme.,İsim,Düzen,-,Son
kaos,Karmaşa.,İsim,Korku,-,İlk
düzen,Nizam.,İsim,Huzur,nizam,Son
tesadüf,Rastlantı.,İsim,Şaşkınlık,rastlantı,Son
kader,Alınyazısı.,İsim,Kabulleniş,yazgı,Son
şans,Talih.,İsim,Umut,talih,Son
belki,Olabilir.,Zarf,Belirsiz,-,İlk
asla,Hiçbir zaman.,Zarf,Kesin,-,İlk
daima,Her zaman.,Zarf,Süreklilik,hep,İlk
şimdi,Şu an.,Zarf,Acil,-,İlk
sonra,Daha ileri zaman.,Zarf,Erteleme,-,İlk
önce,Daha geri zaman.,Zarf,Geçmiş,-,İlk
bugün,İçinde bulunulan gün.,İsim,Güncel,-,Son
yarın,Bir sonraki gün.,İsim,Umut,-,Son
dün,Bir önceki gün.,İsim,Geçmiş,-,Son
